PRIORITY,ASSIGNED_GROUP,reassign_num
Low,ITS00342,99
Low,NW000473,99
Medium,DC000248,99
Medium,DC000139,98
Medium,NW000450,98
Low,EDC00009,98
Medium,NW000409,97
Low,ITS00344,95
Medium,NW000413,95
Medium,NW000444,95
Medium,ENT00005,94
Low,DC000223,93
Low,ITS00359,92
Medium,ITS00358,92
Medium,NW000464,92
Medium,DC000207,91
Low,DC000108,91
Medium,NW000410,90
Medium,EDC00030,89
Medium,DC000110,89
High,NW000414,89
Low,NW000490,89
Medium,DC000221,88
Low,DC000110,87
Low,NW000424,87
Low,EU000203,86
Medium,EDC00025,86
Low,NS000116,85
Low,ITS00368,83
Low,DC000179,83
Low,COR00552,83
Medium,SM000561,83
Medium,DC000224,82
Low,NW000401,82
Medium,ITS00380,82
High,NW000405,81
Low,EDC00053,80
Low,SM000557,80
Low,ITS00353,80
Low,ITS00312,80
Low,NW000413,79
Medium,NW000408,79
Medium,DC000129,78
Low,NW000472,78
Medium,DC000263,77
Medium,DC000128,77
Low,DC000147,76
Low,PM000614,75
Medium,DC000179,75
Low,EDC00025,75
Medium,ESI00028,74
Low,ITS00307,74
Low,SM000561,74
High,NW000431,73
Medium,DC000140,71
Medium,NW000420,71
Low,DC000120,70
Medium,ITS00326,70
Medium,SM000586,69
Low,ITS00321,69
Low,EDC00030,69
Medium,EDC00010,68
Low,ITS00345,68
Medium,EDC00089,68
High,DC000202,68
Low,DC000262,67
High,DC000115,67
Low,EDC00001,66
Medium,SM000512,65
Medium,ITS00376,65
Low,ENT00009,65
Medium,NW000401,64
Low,EDC00003,62
Low,ITS00309,62
Low,EDC00066,62
Medium,DC000176,61
Low,ESI00026,61
Medium,SM000585,60
Medium,NW000423,60
Low,NS000115,59
Low,DC000242,58
High,NW000417,58
High,ITS00332,56
High,NW000403,56
Medium,DC000186,56
Medium,DC000178,56
Medium,NW000446,56
Low,ESI00049,54
Medium,DC000249,54
High,DC000188,54
Medium,DC000120,52
Medium,NW000490,52
Medium,EDC00095,52
Low,ITS00360,51
High,ITS00340,51
Low,NW000444,51
Low,NW000446,50
Low,EU000202,50
Low,EDC00089,50
Medium,NW000426,50
Low,ITS00346,50
Medium,ITS00346,49
Medium,DC000195,49
Low,NW000508,49
Low,ITS00375,49
Low,DC000163,49
Medium,ITS00307,49
Low,ITS00335,48
Low,EDC00054,48
Medium,DC000191,48
Medium,ITS00359,47
Low,DC000233,47
Low,DC000109,47
Medium,ITS00325,46
High,ITS00322,46
Medium,DC000198,46
Medium,DC000101,45
Low,SM000586,45
Medium,ITS00108,44
Medium,ITS00313,44
Low,ITS00329,44
Low,ITS00338,43
Low,DC000195,43
Medium,ITS00327,43
Medium,NW000472,43
Low,DC000252,43
Low,ESI00012,42
Low,ITS00330,42
Low,DC000198,42
Low,DC000191,42
High,NW000430,42
High,ITS00343,41
High,DC000141,40
Medium,ITS00308,40
Medium,DC000204,40
Medium,ITS00329,40
High,ITS00341,39
Medium,ITS00374,39
Low,NW000521,39
Medium,PM000614,38
Medium,DC000147,38
Low,ENT00006,38
Medium,ITS00352,38
High,DC000207,37
Low,ESI00045,37
High,ITS00306,37
Low,DC000229,37
Medium,ITS00375,37
Medium,SM000514,36
Medium,NW000489,36
Medium,NW000471,36
Medium,ITS00330,36
Low,ENT00042,35
Low,NW000419,35
Low,ITS00331,35
Low,DC000224,35
Low,SM000549,35
High,EDC00029,35
Low,NDS00033,35
Medium,NS000116,34
High,DC000113,34
Medium,EDC00021,34
Medium,NW000488,34
Medium,DC000252,34
Medium,COR00553,33
Low,NW000426,33
Low,NW000483,32
Medium,SM000562,32
Low,DC000201,32
Medium,DC000134,32
Medium,NDS00033,31
Low,NW000406,31
Low,ITS00108,31
Medium,NW000434,30
High,NW000407,30
Low,NW000492,30
Low,NW000489,30
Medium,NW000508,30
Low,ENT00039,30
Low,DC000245,30
Medium,EU000203,29
Medium,DC000118,29
Low,COR00559,29
Medium,ESI00026,29
High,NW000433,29
Medium,ITS00353,28
Medium,DC000253,28
Low,EDC00074,28
High,NW000412,27
High,DC000206,27
Low,NS000108,26
Medium,EDC00031,26
Low,EDC00062,26
Low,DC000228,26
Medium,EDC00055,26
Medium,EDC00002,26
Medium,NS000101,25
High,NW000464,25
High,EDC00030,25
Medium,DC000131,24
Medium,DC000233,24
Medium,DC000109,24
Medium,EDC00054,24
Medium,DC000257,24
High,DC000119,24
Low,SM000558,23
Low,NW000510,23
Medium,NS000115,23
High,ITS00352,22
Medium,NW000473,22
Low,SM000514,22
Low,NW000432,22
High,NW000429,22
Medium,DC000201,22
Medium,ITS00309,22
Low,ITS00101,22
Low,NW000437,21
High,NW000420,21
Low,ITS00304,21
Low,ENT00014,21
Low,EDC00098,21
Medium,DC000123,20
High,DC000140,20
Low,ITS00347,20
Medium,EDC00001,20
Medium,NW000486,19
High,NW000449,19
Low,DC000257,19
Low,NW000460,19
Medium,SM000557,19
Medium,ITS00377,19
Medium,NW000425,19
Medium,ITS00103,19
Medium,NW000432,19
Low,NS000101,18
Low,ITS00379,18
Medium,DC000262,18
High,ITS00344,18
Low,DC000253,18
Medium,NW000461,18
High,DC000111,18
Low,ITS00374,18
Medium,NW000502,17
Medium,DC000247,17
Low,EDC00055,17
Medium,EU000202,17
High,ITS00326,17
High,NW000439,17
Low,DC000248,17
High,SM000514,17
High,ITS00308,17
High,ESI00028,16
High,DC000156,16
High,DC000203,16
Medium,NW000484,16
High,DC000237,16
High,DC000200,16
Low,NDS00032,16
Medium,COR00557,16
Medium,ITS00378,16
High,SM000557,16
Low,ITS00327,16
Medium,DC000199,16
Medium,NW000419,15
Low,DC000123,15
High,SM000562,15
Low,DC000247,15
Low,DC000176,15
Medium,DC000206,15
Medium,ITS00347,15
Medium,SM000549,15
Medium,ITS00360,15
Medium,NW000510,15
High,EU000203,15
Medium,ESI00045,15
Medium,DC000272,15
Low,DC000190,14
Low,NW000494,14
Low,SM000517,14
High,NW000401,14
Low,NW000436,14
Low,NW000423,14
High,DC000236,14
Medium,NS000108,14
Low,ESI00043,14
High,DC000147,14
Medium,NW000476,14
Medium,ITS00312,14
Low,ITS00377,14
High,NW000438,14
Medium,NW000483,13
Low,ITS00103,13
High,NW000445,13
Low,DC000173,13
High,DC000221,13
Medium,NW000521,12
High,DC000179,12
Low,DC000114,12
Low,DC000199,12
High,DC000117,12
Low,NW000476,12
High,DC000108,12
Low,EDC00008,12
Medium,EDC00075,12
Medium,DC000250,12
Low,NW000425,11
Low,EDC00004,11
High,NW000453,11
Medium,SM000515,11
High,ITS00345,11
Low,NW000411,11
Medium,DC000222,11
Low,DC000250,11
Low,SM000500,11
Low,NW000504,11
Medium,DC000229,11
Low,DC000121,11
High,NW000400,11
Medium,SM000558,11
Medium,DC000231,11
Low,EDC00040,10
Low,SM000501,10
Low,DC000186,10
High,NW000426,10
Low,NW000495,10
Low,NW000480,10
Medium,ITS00101,10
Low,DC000125,10
Low,EU000206,10
Low,DC000183,10
Low,ESI00019,10
High,ITS00347,10
Low,ITS00378,10
Low,ITS00367,10
High,NW000440,10
Medium,DC000104,10
Medium,DC000242,10
Low,EDC00018,10
Low,EDC00014,10
High,DC000245,10
Low,NW000402,10
Medium,NW000457,10
Low,ITS00348,10
Low,ENT00003,10
Low,DC000246,9
Low,DC000249,9
Medium,EDC00098,9
Medium,DC000245,9
Medium,SM000568,9
High,ITS00376,9
Low,DC000194,9
Low,ESI00054,9
Low,ESI00010,9
Medium,PM000611,9
High,DC000133,9
High,DC000209,9
Medium,NW000474,9
High,ITS00381,9
Low,DC000211,9
Low,NW000486,9
Low,ITS00370,9
High,EDC00021,9
High,NW000432,9
Low,EDC00068,9
High,DC000210,9
High,EDC00010,8
High,NW000444,8
High,DC000216,8
High,DC000110,8
Low,SM000568,8
High,DC000198,8
Medium,NW000451,8
Low,SDATIER1,8
Low,ESI00025,8
Low,SM000513,8
Low,SM000553,8
Medium,DC000125,8
High,DC000135,8
Low,NW000461,8
Medium,ITS00368,8
Low,ITS00106,8
High,NW000469,8
Low,NW000451,8
Medium,ENT00045,8
High,DC000121,8
Low,NS000117,8
Medium,ITS00350,8
High,DC000125,8
Low,ITS00301,8
High,NW000447,8
Medium,DC000246,8
High,NW000427,8
High,NW000448,8
Low,ITS00383,8
Low,NW000462,8
Low,ITS00357,7
Low,ITS00349,7
High,ITS00313,7
Low,EDC00005,7
High,DC000205,7
Medium,NW000462,7
High,EDC00001,7
Low,COR00551,7
High,ITS00358,7
Medium,COR00551,7
Low,DC000101,7
Medium,ITS00321,7
Low,EDC00075,7
High,NW000488,7
Medium,NW000477,7
High,DC000139,7
Low,DC000148,7
Medium,SM000582,7
Low,PM000611,7
Low,EDC00041,7
Medium,ITS00331,7
Low,DC000187,7
High,ITS00307,7
Medium,ENT00039,7
Low,DC000218,7
Medium,ITS00348,7
Medium,ITS00102,7
High,NW000410,6
Low,ITS00356,6
Medium,EDC00066,6
Low,NW000505,6
Low,DC000150,6
Low,DC000222,6
High,NW000481,6
Medium,NW000480,6
Medium,ITS00357,6
Low,ITS00363,6
Medium,NW000455,6
Low,ENT00007,6
Low,NW000456,6
Medium,COR00552,6
High,EDC00098,6
High,ITS00331,6
Medium,ITS00304,6
Medium,EDC00003,6
Medium,NW000411,6
Medium,ESI00012,6
Low,SM000515,6
Low,COR00554,6
Low,SM000582,6
High,ITS00327,6
Medium,ITS00110,6
Medium,DC000173,6
Low,DC000143,6
High,DC000122,5
Medium,DC000187,5
Medium,DC000163,5
Medium,ITS00109,5
High,DC000109,5
High,DC000178,5
Medium,ENT00006,5
Medium,EDC00040,5
Medium,EDC00008,5
High,DC000127,5
Medium,ESI00043,5
High,EDC00095,5
Medium,NW000469,5
Medium,ITS00370,5
High,NW000450,5
Medium,ITS00363,5
Medium,ITS00349,5
Low,ITS00102,5
Medium,PM000613,5
High,EDC00066,5
Low,EDC00048,5
High,NW000428,5
Low,NW000422,5
Medium,ITS00379,5
High,SM000558,5
Medium,NW000492,5
Low,SM000559,5
Low,SM000532,5
Low,NW000443,5
Low,ITS00361,5
High,NW000408,5
Low,ENT00016,5
Medium,NW000467,5
Medium,ITS00302,5
High,ITS00374,5
Medium,COR00554,5
Medium,NW000443,5
Medium,ITS00390,5
Medium,COR00559,5
Medium,EDC00009,4
Medium,ENT00042,4
High,ITS00330,4
High,NW000503,4
High,NW000480,4
Medium,ITS00367,4
Medium,ITS00371,4
High,NW000452,4
High,DC000120,4
Medium,NW000495,4
Medium,NW000505,4
High,NW000489,4
Low,EDC00023,4
Low,ITS00362,4
Low,ESI00052,4
High,DC000195,4
Low,ENT00023,4
Medium,EDC00065,4
High,NW000434,4
Low,ESI00042,4
Low,EDC00065,4
Medium,SM000532,4
High,EDC00053,4
Medium,NW000514,4
Medium,DC000180,4
Medium,DC000183,4
High,DC000191,4
High,SM000542,4
High,EDC00089,4
High,ENT00009,4
High,ENT00014,4
Medium,COR00556,4
Low,DC000180,4
Low,NW000474,4
Medium,NW000519,4
Low,ENT00002,4
High,NS000116,3
Low,ITS00351,3
Medium,EDC00026,3
Medium,EDC00048,3
Low,EDC00096,3
Medium,ITS00373,3
Medium,NW000406,3
Low,DC000159,3
Medium,NW000498,3
Medium,NW000437,3
High,ITS00383,3
Low,DC000146,3
High,DC000223,3
Low,SM000580,3
Low,SM000571,3
Medium,DC000148,3
Medium,SM000541,3
Low,DC000118,3
High,EDC00008,3
Medium,ITS00335,3
High,EDC00055,3
Medium,ITS00100,3
Medium,DC000196,3
Medium,ITS00362,3
High,ITS00108,3
High,ITS00301,3
High,ESI00026,3
Low,NW000441,3
High,DC000130,3
Low,NSD00018,3
High,DC000101,3
High,ITS00312,3
High,DC000128,3
Medium,NW000456,3
High,SM000512,3
Medium,ESI00049,3
Medium,ITS00336,2
Medium,NW000441,2
Medium,ENT00016,2
Medium,ENT00014,2
Medium,SM000513,2
Medium,SM000559,2
Medium,NW000475,2
Medium,ENT00008,2
Medium,ITS00354,2
Medium,ITS00355,2
Medium,ITS00361,2
Medium,NW000442,2
Medium,ITS00301,2
High,COR00552,2
Low,EDC00050,2
Low,NW000435,2
High,DC000226,2
Low,SM000575,2
Low,DC000112,2
Low,SM000519,2
Low,DC000166,2
Low,PM000602,2
Low,ESI00014,2
Low,NW000517,2
Low,NW000507,2
Low,DC000213,2
Low,DC000217,2
Low,DC000219,2
Low,NW000498,2
Low,NW000469,2
Low,NS000107,2
Low,DC000104,2
High,ITS00325,2
High,EDC00031,2
Low,EDC00051,2
Low,NDS00028,2
Low,EDC00064,2
Low,EDC00067,2
Low,ITS00373,2
High,EDC00065,2
Low,ENT00008,2
Low,ENT00036,2
High,ENT00039,2
Low,ESI00008,2
High,ESI00047,2
Low,ESI00047,2
Medium,COR00055,2
High,ESI00012,2
Medium,DC000121,2
High,NW000409,2
High,SM000502,2
High,NW000490,2
Medium,DC000230,2
High,NW000476,2
High,NW000467,2
Medium,DC000228,2
Medium,EDC00041,2
High,DC000151,2
High,SM000537,2
Medium,DC000194,2
High,NW000461,2
High,SM000500,2
High,DC000132,2
Medium,DC000193,2
Low,CG4TECH,2
High,NW000413,2
Medium,DC000160,2
Low,CHNGMGMT,2
Medium,DC000170,2
High,DC000186,2
High,DC000129,2
Medium,NW000511,1
Medium,ITS00383,1
Low,EDC00060,1
High,NW000404,1
High,ESI00052,1
Low,EDC00076,1
Low,ENT00040,1
High,NW000463,1
Low,ENT00015,1
Low,ENT00017,1
Medium,EDC00099,1
Medium,NS000110,1
Low,EDC00028,1
High,ITS00342,1
High,SM000516,1
Low,COR00556,1
Low,COR00055,1
High,ITS00375,1
Low,DC000160,1
Low,DC000161,1
Low,DC000170,1
Low,DC000175,1
High,NDS00033,1
Low,DC000184,1
High,ITS00360,1
Low,AP000011,1
High,SM000568,1
High,SM000561,1
Low,DC000226,1
Low,DC000230,1
Low,DC000254,1
Low,EDC00026,1
High,ITS00346,1
High,ITS00378,1
High,ITS00362,1
Low,ITS00337,1
Medium,NW000517,1
Medium,DC000184,1
Medium,ITS00337,1
Medium,SM000520,1
Low,NW000515,1
High,ENT00045,1
Medium,SM000521,1
Low,PCR00001,1
Low,PM000613,1
High,EDC00025,1
Low,SM000572,1
High,DC000201,1
Medium,SM000553,1
High,DC000190,1
Medium,DC000190,1
Low,NW000502,1
Medium,EU000206,1
Medium,DC000217,1
High,DC000180,1
Medium,DC000218,1
High,DC000160,1
Medium,DC000254,1
Medium,DC000269,1
Medium,ESI00010,1
Medium,EDC00005,1
Medium,EDC00043,1
Medium,ENT00009,1
Medium,ENT00003,1
Medium,ITS00338,1
Low,NW000519,1
Low,NW000493,1
Low,NDS00038,1
Low,ITS00110,1
Low,ITS00302,1
High,ENT00006,1
Low,ITS00336,1
High,ENT00005,1
Medium,ITS00365,1
Low,ITS00365,1
Medium,SM000501,1
Low,NDS00009,1
Low,NW000484,1
High,EDC00054,1
High,NW000424,1
Low,NW000457,1
Medium,SM000516,1
Low,NW000454,1
Low,NW000455,1
High,EDC00002,0
Medium,NW000520,0
Medium,SM000583,0
High,ITS00359,0
Medium,NW000494,0
Medium,SM000580,0
Medium,SM000517,0
High,ESI00054,0
High,NS000108,0
Medium,SM000571,0
High,NW000423,0
High,DC000155,0
High,ITS00372,0
High,EDC00027,0
High,EDC00003,0
High,EDC00064,0
High,ITS00363,0
High,EU000202,0
High,DC000199,0
High,ITS00380,0
High,ITS00309,0
High,EDC00062,0
Medium,EDC00083,0
High,NW000425,0
High,NW000446,0
Low,NDS00026,0
Medium,ITS00356,0
Low,NDS00031,0
Low,NDS00039,0
Low,NS000102,0
Medium,ITS00351,0
Low,NW000478,0
Low,NW000514,0
Low,NW000520,0
Low,SM000520,0
Low,SM000546,0
Low,SM000560,0
Low,TIVMON,0
Medium,COR00550,0
Medium,DC000102,0
Medium,DC000145,0
Medium,DC000150,0
Medium,ITS00104,0
Medium,ESI00054,0
Medium,DC000225,0
Medium,ESI00025,0
Medium,EDC00004,0
Medium,EDC00014,0
Medium,EDC00042,0
Medium,EDC00062,0
Medium,EDC00064,0
Medium,EDC00068,0
Low,ITS00390,0
Low,ITS00371,0
Low,ITS00350,0
Low,EDC00027,0
High,NW000472,0
High,NW000486,0
Low,AP000012,0
Low,COR00558,0
Low,DC000105,0
Low,DC000145,0
Low,DC000149,0
Low,DC000151,0
Low,DC000168,0
Low,DC000185,0
Low,DC000193,0
Low,DC000231,0
Low,EDC00042,0
Low,ITS00328,0
Low,EDC00043,0
Low,EDC00052,0
Low,EDC00056,0
Medium,NS000106,0
Medium,NDS00032,0
Low,ESI00013,0
Medium,ITS00387,0
Low,ESI00018,0
Low,ESI00046,0
Low,EU000204,0
Low,ITS00109,0
Low,ITS00315,0
Medium,TIVMON,0
